AQW00061705           0C
CAW00064757        7765Q
CQC00914080           0P
CQC00914801           0R
FMC00914395           0P
FMC00914419           0P
FMC00914446           0P
FMC00914482       -7777P
FMC00914720           0P
FMC00914761           0P
FMC00914831           0P
FMC00914892           0P
FMC00914898           0P
FMC00914911           0P
FMW00040308           0S
FMW00040504           0S
FMW00040505           0P
GQC00914025           0P
GQW00041415           0S
JQW00021603           0P
PSC00914519           0P
PSC00914712           0P
PSW00040309           0S
RMW00040604           0S
RMW00040710           0S
RQC00660061          45R
RQC00660152           0R
RQC00660158          44R
RQC00660410           0R
RQC00660426       -7777S
RQC00661901           3R
RQC00662336         763R
RQC00662801       -7777S
RQC00662934       -7777R
RQC00663409           2P
RQC00663431       -7777S
RQC00663657           0R
RQC00664193           0R
RQC00664276       -7777S
RQC00664702           0S
RQC00665064       -7777R
RQC00665097       -7777R
RQC00665693           0R
RQC00665807       -7777R
RQC00665908          13R
RQC00666073           0R
RQC00666258           0R
RQC00666992         380R
RQC00667292           0S
RQC00668126       -7777Q
RQC00668306           0R
RQC00668881           0R
RQC00669521           0S
RQC00669608           0R
RQW00011603           0R
RQW00011630           0R
RQW00011641           0S
USC00010063        3346Q
USC00010160        2782S
USC00010178        2710R
USC00010252        2325R
USC00010260        3673Q
USC00010369        3056R
USC00010390        3244R
USC00010402        2000S
USC00010425        2455R
USC00010430        2432R
USC00010505        2816R
USC00010583        1799S
USC00010655        3583S
USC00010764        2770S
USC00011080        2168S
USC00011084        1996R
USC00011099        3646S
USC00011301        2301R
USC00011324        3130R
USC00011490        3455Q
USC00011566        2299R
USC00011620        2583S
USC00011694        2825R
USC00011725        2499R
USC00011803        1904R
USC00012096        3474R
USC00012172        1318S
USC00012209        3068Q
USC00012245        2741R
USC00012675        1831R
USC00012730        2020R
USC00012758        2190R
USC00012813        1676C
USC00012840        3469R
USC00012883        2775R
USC00013043        3182Q
USC00013105        2114R
USC00013154        3009S
USC00013160        2620S
USC00013251        2018R
USC00013511        2143R
USC00013519        2455S
USC00013573        3115R
USC00013575        3051R
USC00013620        2811S
USC00013645        3467S
USC00013655        3135Q
USC00013761        1905R
USC00013775        3255R
USC00013781        2666Q
USC00013816        2767S
USC00014193        2224R
USC00014226        3225R
USC00014502        2960R
USC00014798        2613R
USC00015121        2601R
USC00015140        2641R
USC00015439        2359R
USC00015553        2278R
USC00015635        3286S
USC00015752        3623Q
USC00016000        2830Q
USC00016121        3149R
USC00016129        2814R
USC00016196        3517Q
USC00016478        3173S
USC00016988        1858S
USC00017020        2654R
USC00017025        2919R
USC00017131        3403R
USC00017157        3267R
USC00017207        3507S
USC00017304        3393R
USC00017366        2280R
USC00017999        3029S
USC00018024        3065S
USC00018178        2271S
USC00018209        2520S
USC00018323        2209R
USC00018380        2338S
USC00018438        2555S
