"","station","cldd","cdd","qual","lat","long"
"1","AQW00061705","6090C",6090,"C",-14.3306,-170.7136
"2","CQC00914801","5565R",5565,"R",14.1717,145.2428
"3","FMW00040308","6473S",6473,"S",9.4833,138.0833
"4","FMW00040504","5816S",5816,"S",6.9667,158.2167
"5","GQW00041415","6005S",6005,"S",13.4836,144.7961
"6","PSW00040309","6131S",6131,"S",7.3333,134.4833
"7","RMW00040604","6320S",6320,"S",8.7333,167.7333
"8","RMW00040710","6246S",6246,"S",7.0833,171.3833
"9","RQC00660061","1985R",1985,"R",18.1747,-66.7978
"10","RQC00660152","5258R",5258,"R",17.9556,-66.2222
"11","RQC00660158","2320R",2320,"R",18.1281,-66.2642
"12","RQC00660410","4760R",4760,"R",18.4533,-66.6747
"13","RQC00660426","3816S",3816,"S",18.3494,-66.7525
"14","RQC00661901","3052R",3052,"R",18.1189,-66.1658
"15","RQC00662336","402R",402,"R",18.1547,-66.562
"16","RQC00662801","4747S",4747,"S",18.3808,-67.1569
"17","RQC00662934","4311R",4311,"R",18.3267,-66.3592
"18","RQC00663431","4405S",4405,"S",18.3361,-66.6667
"19","RQC00663657","5405R",5405,"R",18.3103,-65.6631
"20","RQC00664193","5812R",5812,"R",17.9783,-66.0875
"21","RQC00664276","4652S",4652,"S",18.2583,-65.9922
"22","RQC00664702","4469S",4469,"S",18.4653,-67.0525
"23","RQC00665064","4731R",4731,"R",18.2264,-65.9114
"24","RQC00665097","4819R",4819,"R",18.0331,-67.0722
"25","RQC00665693","5811R",5811,"R",17.9722,-67.0461
"26","RQC00665807","4672R",4672,"R",18.4308,-66.4661
"27","RQC00665908","2396R",2396,"R",18.1511,-66.9889
"28","RQC00666073","5053R",5053,"R",18.1875,-67.1378
"29","RQC00666258","5479R",5479,"R",18.0908,-67.9442
"30","RQC00666992","492R",492,"R",18.2708,-65.7592
"31","RQC00667292","5398S",5398,"S",18.0258,-66.5253
"32","RQC00668306","5117R",5117,"R",18.3906,-66.0542
"33","RQC00668881","4871R",4871,"R",18.3469,-67.0119
"34","RQC00669521","5096S",5096,"S",18.3283,-66.0164
"35","RQC00669608","3823R",3823,"R",18.2617,-66.6864
"36","RQW00011603","5059R",5059,"R",18.4981,-67.1294
"37","RQW00011630","5748R",5748,"R",18.255,-65.6408
"38","RQW00011641","5855S",5855,"S",18.4325,-66.0108
"39","USC00010160","1824S",1824,"S",32.9453,-85.9481
"40","USC00010178","2050R",2050,"R",33.1272,-88.155
"41","USC00010252","1947R",1947,"R",31.3072,-86.5225
"42","USC00010369","1522R",1522,"R",33.2942,-85.7789
"43","USC00010390","1750R",1750,"R",34.7753,-86.9508
"44","USC00010402","2296S",2296,"S",31.1819,-87.4389
"45","USC00010425","1923R",1923,"R",32.5992,-85.4653
"46","USC00010430","2070R",2070,"R",32.6,-85.5
"47","USC00010505","1948R",1948,"R",33.4528,-87.3572
"48","USC00010583","2399S",2399,"S",30.8839,-87.7853
"49","USC00010655","1538S",1538,"S",34.6908,-86.8825
"50","USC00010764","1933S",1933,"S",33.3953,-87.0078
"51","USC00011080","2174S",2174,"S",31.1414,-87.0486
"52","USC00011084","2252R",2252,"R",31.0581,-87.0547
"53","USC00011099","1448S",1448,"S",34.9786,-85.8008
"54","USC00011301","2227R",2227,"R",32.0289,-87.3167
"55","USC00011324","1555R",1555,"R",32.8236,-85.6561
"56","USC00011566","2082R",2082,"R",31.4714,-88.2503
"57","USC00011620","1910S",1910,"S",33.285,-86.3431
"58","USC00011694","1794R",1794,"R",32.8203,-86.6522
"59","USC00011725","1852R",1852,"R",31.8708,-85.45
"60","USC00011803","2167R",2167,"R",30.3878,-88.2281
"61","USC00012096","1478R",1478,"R",34.1925,-86.7972
"62","USC00012172","2927S",2927,"S",30.2506,-88.0775
"63","USC00012245","1922R",1922,"R",32.5192,-87.88
"64","USC00012675","2416R",2416,"R",31.2975,-85.8997
"65","USC00012730","2398R",2398,"R",32.0111,-85.09
"66","USC00012758","2171R",2171,"R",31.445,-86.9533
"67","USC00012813","2534C",2534,"C",30.5467,-87.8808
"68","USC00012840","1626R",1626,"R",34.3667,-86.8833
"69","USC00012883","1986R",1986,"R",33.6847,-87.8214
"70","USC00013105","2151R",2151,"R",31.3894,-87.4203
"71","USC00013154","1897S",1897,"S",34.0219,-85.9878
"72","USC00013160","2145S",2145,"S",32.8347,-88.1342
"73","USC00013251","2269R",2269,"R",31.0383,-85.8708
"74","USC00013511","2376R",2376,"R",32.7019,-87.5817
"75","USC00013519","1899S",1899,"S",31.79,-86.6086
"76","USC00013573","1821R",1821,"R",34.3344,-86.3297
