"","station","htdd","hdd","qual","lat","long"
"1","AQW00061705","0C",0,"C",-14.3306,-170.7136
"2","CQC00914801","0R",0,"R",14.1717,145.2428
"3","FMW00040308","0S",0,"S",9.4833,138.0833
"4","FMW00040504","0S",0,"S",6.9667,158.2167
"5","GQW00041415","0S",0,"S",13.4836,144.7961
"6","PSW00040309","0S",0,"S",7.3333,134.4833
"7","RMW00040604","0S",0,"S",8.7333,167.7333
"8","RMW00040710","0S",0,"S",7.0833,171.3833
"9","RQC00660061","45R",45,"R",18.1747,-66.7978
"10","RQC00660152","0R",0,"R",17.9556,-66.2222
"11","RQC00660158","44R",44,"R",18.1281,-66.2642
"12","RQC00660410","0R",0,"R",18.4533,-66.6747
"13","RQC00661901","3R",3,"R",18.1189,-66.1658
"14","RQC00662336","763R",763,"R",18.1547,-66.562
"15","RQC00663657","0R",0,"R",18.3103,-65.6631
"16","RQC00664193","0R",0,"R",17.9783,-66.0875
"17","RQC00664702","0S",0,"S",18.4653,-67.0525
"18","RQC00665693","0R",0,"R",17.9722,-67.0461
"19","RQC00665908","13R",13,"R",18.1511,-66.9889
"20","RQC00666073","0R",0,"R",18.1875,-67.1378
"21","RQC00666258","0R",0,"R",18.0908,-67.9442
"22","RQC00666992","380R",380,"R",18.2708,-65.7592
"23","RQC00667292","0S",0,"S",18.0258,-66.5253
"24","RQC00668306","0R",0,"R",18.3906,-66.0542
"25","RQC00668881","0R",0,"R",18.3469,-67.0119
"26","RQC00669521","0S",0,"S",18.3283,-66.0164
"27","RQC00669608","0R",0,"R",18.2617,-66.6864
"28","RQW00011603","0R",0,"R",18.4981,-67.1294
"29","RQW00011630","0R",0,"R",18.255,-65.6408
"30","RQW00011641","0S",0,"S",18.4325,-66.0108
"31","USC00010160","2782S",2782,"S",32.9453,-85.9481
"32","USC00010178","2710R",2710,"R",33.1272,-88.155
"33","USC00010252","2325R",2325,"R",31.3072,-86.5225
"34","USC00010369","3056R",3056,"R",33.2942,-85.7789
"35","USC00010390","3244R",3244,"R",34.7753,-86.9508
"36","USC00010402","2000S",2000,"S",31.1819,-87.4389
"37","USC00010425","2455R",2455,"R",32.5992,-85.4653
"38","USC00010430","2432R",2432,"R",32.6,-85.5
"39","USC00010505","2816R",2816,"R",33.4528,-87.3572
"40","USC00010583","1799S",1799,"S",30.8839,-87.7853
"41","USC00010655","3583S",3583,"S",34.6908,-86.8825
"42","USC00010764","2770S",2770,"S",33.3953,-87.0078
"43","USC00011080","2168S",2168,"S",31.1414,-87.0486
"44","USC00011084","1996R",1996,"R",31.0581,-87.0547
"45","USC00011099","3646S",3646,"S",34.9786,-85.8008
"46","USC00011301","2301R",2301,"R",32.0289,-87.3167
"47","USC00011324","3130R",3130,"R",32.8236,-85.6561
"48","USC00011566","2299R",2299,"R",31.4714,-88.2503
"49","USC00011620","2583S",2583,"S",33.285,-86.3431
"50","USC00011694","2825R",2825,"R",32.8203,-86.6522
"51","USC00011725","2499R",2499,"R",31.8708,-85.45
"52","USC00011803","1904R",1904,"R",30.3878,-88.2281
"53","USC00012096","3474R",3474,"R",34.1925,-86.7972
"54","USC00012172","1318S",1318,"S",30.2506,-88.0775
"55","USC00012245","2741R",2741,"R",32.5192,-87.88
"56","USC00012675","1831R",1831,"R",31.2975,-85.8997
"57","USC00012730","2020R",2020,"R",32.0111,-85.09
"58","USC00012758","2190R",2190,"R",31.445,-86.9533
"59","USC00012813","1676C",1676,"C",30.5467,-87.8808
"60","USC00012840","3469R",3469,"R",34.3667,-86.8833
"61","USC00012883","2775R",2775,"R",33.6847,-87.8214
"62","USC00013105","2114R",2114,"R",31.3894,-87.4203
"63","USC00013154","3009S",3009,"S",34.0219,-85.9878
"64","USC00013160","2620S",2620,"S",32.8347,-88.1342
"65","USC00013251","2018R",2018,"R",31.0383,-85.8708
"66","USC00013511","2143R",2143,"R",32.7019,-87.5817
"67","USC00013519","2455S",2455,"S",31.79,-86.6086
"68","USC00013573","3115R",3115,"R",34.3344,-86.3297
"69","USC00013575","3051R",3051,"R",34.3347,-86.3294
"70","USC00013620","2811S",2811,"S",34.2314,-87.6353
"71","USC00013645","3467S",3467,"S",34.0967,-87.9914
"72","USC00013761","1905R",1905,"R",31.3625,-85.3397
"73","USC00013775","3255R",3255,"R",33.6483,-85.6006
"74","USC00013816","2767S",2767,"S",31.8814,-86.2503
"75","USC00014193","2224R",2224,"R",31.5253,-87.9278
"76","USC00014226","3225R",3225,"R",33.9047,-87.3153
"77","USC00014502","2960R",2960,"R",32.9069,-85.4336
"78","USC00014798","2613R",2613,"R",32.5811,-88.1897
"79","USC00015121","2601R",2601,"R",32.4714,-87.2314
"80","USC00015140","2641R",2641,"R",32.6667,-85.9167
"81","USC00015439","2359R",2359,"R",32.4419,-85.8889
"82","USC00015553","2278R",2278,"R",32.26,-86.2181
"83","USC00015635","3286S",3286,"S",34.4883,-87.2989
"84","USC00016121","3149R",3149,"R",33.9478,-86.4692
"85","USC00016129","2814R",2814,"R",32.6592,-85.4492
"86","USC00016478","3173S",3173,"S",33.6906,-86.685
"87","USC00016988","1858S",1858,"S",30.5653,-87.7017
"88","USC00017020","2654R",2654,"R",32.8711,-86.1758
"89","USC00017025","2919R",2919,"R",33.1581,-85.2911
"90","USC00017131","3403R",3403,"R",34.51,-87.7319
"91","USC00017157","3267R",3267,"R",34.1736,-86.8133
"92","USC00017207","3507S",3507,"S",34.2878,-85.9681
"93","USC00017304","3393R",3393,"R",34.6736,-86.0536
"94","USC00017366","2280R",2280,"R",32.4111,-87.0144
"95","USC00017999","3029S",3029,"S",33.2053,-86.2114
"96","USC00018024","3065S",3065,"S",33.4164,-86.135
"97","USC00018178","2271S",2271,"S",31.9172,-87.7347
"98","USC00018209","2520S",2520,"S",32.9206,-86.6708
"99","USC00018323","2209R",2209,"R",31.8075,-85.9722
"100","USC00018380","2338S",2338,"S",33.2119,-87.6161
"101","USC00018438","2555S",2555,"S",32.0142,-85.7464
"102","USC00018469","3745S",3745,"S",34.5667,-85.6128
"103","USC00018517","2977R",2977,"R",33.7392,-88.1275
"104","USC00018867","2385R",2385,"R",31.6508,-87.7097
"105","USC00018998","3422R",3422,"R",33.9111,-87.8475
"106","USC00020060","2201R",2201,"R",33.9433,-113.1875
"107","USC00020100","1595S",1595,"S",34.2281,-113.5778
"108","USC00020159","7392R",7392,"R",33.8492,-109.1469
"109","USC00020287","2051S",2051,"S",31.9792,-111.3831
"110","USC00020288","1306R",1306,"R",33.4625,-111.4814
"111","USC00020586","3377R",3377,"R",34.5972,-113.1739
"112","USC00020632","1254R",1254,"R",33.8097,-111.6497
"113","USC00020670","3152R",3152,"R",34.6417,-111.7831
"114","USC00020672","2288R",2288,"R",36.8969,-113.9425
"115","USC00020678","8014R",8014,"R",35.23,-111.8214
"116","USC00020683","2767R",2767,"R",31.8806,-110.2403
"117","USC00020750","5866S",5866,"S",36.6778,-110.5411
"118","USC00020775","3138R",3138,"R",31.4475,-109.9289
"119","USC00020808","5101R",5101,"R",33.4783,-109.7517
"120","USC00020871","6458R",6458,"R",34.6108,-111.1922
"121","USC00020949","1606S",1606,"S",33.9431,-114.0242
"122","USC00020958","2494S",2494,"S",32.325,-109.4917
"123","USC00021001","7876R",7876,"R",36.2147,-112.062
"124","USC00021026","1359R",1359,"R",33.3761,-112.5828
"125","USC00021050","1047S",1047,"S",35.1411,-114.5686
"126","USC00021169","3836R",3836,"R",35.8833,-111.4
"127","USC00021231","3307S",3307,"S",31.5589,-110.5294
"128","USC00021248","5191S",5191,"S",36.1533,-109.5394
"129","USC00021282","1433R",1433,"R",33.8161,-111.9019
"130","USC00021306","1311R",1311,"R",32.8878,-111.7117
"131","USC00021314","1587S",1587,"S",32.9947,-111.5367
"132","USC00021330","2486S",2486,"S",32.3222,-110.4147
"133","USC00021353","1311S",1311,"S",33.9825,-112.3617
"134","USC00021514","1462R",1462,"R",33.2058,-111.6819
"135","USC00021574","6209R",6209,"R",34.54,-110.9153
"136","USC00021614","2611R",2611,"R",34.3494,-111.6981
"137","USC00021664","3144R",3144,"R",32.0061,-109.3572
"138","USC00021849","2176R",2176,"R",33.0561,-109.3072
"139","USC00021920","4905R",4905,"R",36.9936,-112.9719
"140","USC00022109","2846S",2846,"S",34.305,-112.165
"141","USC00022140","2817S",2817,"S",31.3456,-110.2542
"142","USC00022329","4573R",4573,"R",34.2097,-112.3453
"143","USC00022434","1165R",1165,"R",32.9711,-113.4981
"144","USC00022527","4975R",4975,"R",35.2947,-113.3664
"145","USC00022659","2120R",2120,"R",31.345,-109.5394
"146","USC00022754","3118S",3118,"S",32.7481,-109.1214
"147","USC00022790","1003R",1003,"R",33.6133,-114.4706
"148","USC00022807","1439R",1439,"R",32.7819,-111.5186
"149","USC00023009","7778R",7778,"R",35.1611,-111.7311
"150","USC00023027","1248R",1248,"R",33.0364,-111.3881
"151","USC00023150","2669S",2669,"S",33.0094,-109.9855
"152","USC00023160","8052S",8052,"S",35.2681,-111.7428
"153","USC00023190","1358S",1358,"S",33.6028,-111.7131
"154","USC00023303","5837R",5837,"R",35.7164,-109.5661
"155","USC00023393","1043S",1043,"S",32.9481,-112.7131
"156","USC00023505","2912R",2912,"R",33.3767,-110.7711
"157","USC00023596","6314S",6314,"S",36.0528,-112.1503
"158","USC00023668","1677R",1677,"R",31.8931,-110.9978
"159","USC00023683","7861R",7861,"R",34.0219,-109.4519
"160","USC00023828","7350R",7350,"R",34.7433,-111.4139
"161","USC00024053","3406R",3406,"R",34.47,-112.8881
"162","USC00024089","4571S",4571,"S",34.9094,-110.1544
"163","USC00024453","3370S",3370,"S",34.7522,-112.1114
"164","USC00024586","5656R",5656,"R",35.8111,-110.1917
"165","USC00024645","3073R",3073,"R",35.2,-114.0167
"166","USC00024675","3877R",3877,"R",31.96,-111.5972
"167","USC00024686","5085R",5085,"R",35.55,-109.7
"168","USC00024702","942S",942,"S",33.2742,-113.9653
"169","USC00024759","1103R",1103,"R",34.45,-114.3667
"170","USC00024761","1135R",1135,"R",34.5031,-114.3603
